2048 128 1000
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    126.749 |     90.674 |    217.529
        1 |    114.679 |    102.753 |    217.434
        2 |    114.576 |    102.830 |    217.434
        3 |    124.697 |     92.620 |    217.434
        4 |    116.178 |    101.254 |    217.434
        5 |     91.943 |    125.502 |    217.446
        6 |     90.199 |    127.219 |    217.446
        7 |    114.507 |    102.808 |    217.446
        8 |    112.328 |    105.199 |    217.528
        9 |     90.232 |    127.222 |    217.528
       10 |     89.797 |    127.650 |    217.528
       11 |    114.855 |    102.178 |    217.528
       12 |    125.516 |     91.837 |    217.529
       13 |    111.369 |    106.060 |    217.528
       14 |    114.014 |    103.382 |    217.528
       15 |    126.352 |     90.918 |    217.528

