4096 256 1000
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |    757.605 |    863.756 |   1621.777
        1 |    525.304 |   1096.248 |   1621.554
        2 |    545.874 |   1075.648 |   1621.550
        3 |    752.465 |    868.905 |   1621.551
        4 |    548.297 |   1073.220 |   1621.551
        5 |     56.330 |   1565.402 |   1621.733
        6 |     18.647 |   1603.121 |   1621.771
        7 |    526.080 |   1095.454 |   1621.773
        8 |    524.382 |   1097.158 |   1621.774
        9 |     33.842 |   1587.905 |   1621.773
       10 |     36.672 |   1585.073 |   1621.773
       11 |    535.677 |   1085.856 |   1621.773
       12 |    755.950 |    865.408 |   1621.776
       13 |    525.689 |   1095.855 |   1621.775
       14 |    527.309 |   1094.233 |   1621.776
       15 |    751.465 |    869.902 |   1621.776

