1024 64 500
Processor | comm. time | comp. time | total time
__________|____________|____________|___________
        0 |      8.459 |      5.886 |     14.361
        1 |      8.002 |      6.344 |     14.347
        2 |      7.525 |      6.823 |     14.348
        3 |      8.772 |      5.573 |     14.348
        4 |      8.009 |      6.337 |     14.348
        5 |      5.941 |      8.407 |     14.349
        6 |      6.130 |      8.218 |     14.349
        7 |      7.640 |      6.706 |     14.349
        8 |      7.654 |      6.704 |     14.358
        9 |      6.403 |      7.956 |     14.360
       10 |      6.463 |      7.894 |     14.360
       11 |      7.684 |      6.674 |     14.360
       12 |      8.714 |      5.601 |     14.360
       13 |      7.978 |      6.340 |     14.360
       14 |      7.961 |      6.359 |     14.360
       15 |      8.710 |      5.606 |     14.360

